AverageTemperature,City,Country,Year,Month
25.661,0.0,1.0,1869.0,2.0
24.896,0.0,1.0,1869.0,3.0
25.324,0.0,1.0,1869.0,4.0
26.402,0.0,1.0,1869.0,5.0
27.234,0.0,1.0,1869.0,6.0
27.641,0.0,1.0,1869.0,7.0
27.045,0.0,1.0,1869.0,8.0
27.31,0.0,1.0,1869.0,9.0
26.432,0.0,1.0,1869.0,10.0
27.499,0.0,1.0,1869.0,11.0
24.39,0.0,1.0,1869.0,12.0
24.954,0.0,1.0,1870.0,1.0
23.98,0.0,1.0,1870.0,2.0
24.774,0.0,1.0,1870.0,3.0
24.448,0.0,1.0,1870.0,4.0
26.399,0.0,1.0,1870.0,5.0
27.705,0.0,1.0,1870.0,6.0
27.498,0.0,1.0,1870.0,7.0
27.148,0.0,1.0,1870.0,8.0
27.875,0.0,1.0,1870.0,9.0
26.597,0.0,1.0,1870.0,10.0
26.006,0.0,1.0,1870.0,11.0
23.566,0.0,1.0,1870.0,12.0
24.055,0.0,1.0,1871.0,1.0
24.308,0.0,1.0,1871.0,2.0
24.009,0.0,1.0,1871.0,3.0
24.87,0.0,1.0,1871.0,4.0
25.671,0.0,1.0,1871.0,5.0
26.832,0.0,1.0,1871.0,6.0
27.317,0.0,1.0,1871.0,7.0
27.963,0.0,1.0,1871.0,8.0
27.433,0.0,1.0,1871.0,9.0
26.183,0.0,1.0,1871.0,10.0
26.599,0.0,1.0,1871.0,11.0
25.545,0.0,1.0,1871.0,12.0
23.619,0.0,1.0,1872.0,1.0
24.287,0.0,1.0,1872.0,2.0
24.48,0.0,1.0,1872.0,3.0
24.939,0.0,1.0,1872.0,4.0
26.904,0.0,1.0,1872.0,5.0
27.404,0.0,1.0,1872.0,6.0
27.817,0.0,1.0,1872.0,7.0
27.21,0.0,1.0,1872.0,8.0
27.546,0.0,1.0,1872.0,9.0
26.719,0.0,1.0,1872.0,10.0
25.159,0.0,1.0,1872.0,11.0
24.712,0.0,1.0,1872.0,12.0
23.573,0.0,1.0,1873.0,1.0
25.98,0.0,1.0,1873.0,2.0
24.488,0.0,1.0,1873.0,3.0
23.823,0.0,1.0,1873.0,4.0
26.709,0.0,1.0,1873.0,5.0
26.957,0.0,1.0,1873.0,6.0
27.177,0.0,1.0,1873.0,7.0
26.953,0.0,1.0,1873.0,8.0
26.39,0.0,1.0,1873.0,9.0
26.57,0.0,1.0,1873.0,10.0
25.156,0.0,1.0,1873.0,11.0
26.533,0.0,1.0,1873.0,12.0
24.822,0.0,1.0,1874.0,1.0
25.483,0.0,1.0,1874.0,2.0
24.867,0.0,1.0,1874.0,3.0
23.531,0.0,1.0,1874.0,4.0
25.333,0.0,1.0,1874.0,5.0
26.52,0.0,1.0,1874.0,6.0
26.698,0.0,1.0,1874.0,7.0
27.742,0.0,1.0,1874.0,8.0
26.562,0.0,1.0,1874.0,9.0
26.243,0.0,1.0,1874.0,10.0
26.679,0.0,1.0,1874.0,11.0
26.21,0.0,1.0,1874.0,12.0
23.332,0.0,1.0,1875.0,1.0
23.837,0.0,1.0,1875.0,2.0
24.51,0.0,1.0,1875.0,3.0
23.995,0.0,1.0,1875.0,4.0
25.958,0.0,1.0,1875.0,5.0
27.21,0.0,1.0,1875.0,6.0
27.409,0.0,1.0,1875.0,7.0
27.293,0.0,1.0,1875.0,8.0
25.94,0.0,1.0,1875.0,9.0
26.221,0.0,1.0,1875.0,10.0
26.493,0.0,1.0,1875.0,11.0
25.938,0.0,1.0,1875.0,12.0
25.711,0.0,1.0,1876.0,1.0
24.416,0.0,1.0,1876.0,2.0
24.23,0.0,1.0,1876.0,3.0
24.433,0.0,1.0,1876.0,4.0
25.654,0.0,1.0,1876.0,5.0
27.148,0.0,1.0,1876.0,6.0
27.266,0.0,1.0,1876.0,7.0
27.266,0.0,1.0,1876.0,8.0
26.688,0.0,1.0,1876.0,9.0
26.551,0.0,1.0,1876.0,10.0
25.492,0.0,1.0,1876.0,11.0
23.604,0.0,1.0,1876.0,12.0
24.188,0.0,1.0,1877.0,1.0
23.712,0.0,1.0,1877.0,2.0
23.63,0.0,1.0,1877.0,3.0
24.256,0.0,1.0,1877.0,4.0
26.094,0.0,1.0,1877.0,5.0
27.1,0.0,1.0,1877.0,6.0
27.752,0.0,1.0,1877.0,7.0
28.145,0.0,1.0,1877.0,8.0
27.465,0.0,1.0,1877.0,9.0
27.916,0.0,1.0,1877.0,10.0
26.389,0.0,1.0,1877.0,11.0
25.598,0.0,1.0,1877.0,12.0
25.023,0.0,1.0,1878.0,1.0
24.587,0.0,1.0,1878.0,2.0
24.658,0.0,1.0,1878.0,3.0
25.878,0.0,1.0,1878.0,4.0
27.238,0.0,1.0,1878.0,5.0
28.515,0.0,1.0,1878.0,6.0
27.997,0.0,1.0,1878.0,7.0
27.255,0.0,1.0,1878.0,8.0
26.984,0.0,1.0,1878.0,9.0
27.031,0.0,1.0,1878.0,10.0
26.864,0.0,1.0,1878.0,11.0
25.395,0.0,1.0,1878.0,12.0
25.23,0.0,1.0,1879.0,1.0
23.667,0.0,1.0,1879.0,2.0
23.518,0.0,1.0,1879.0,3.0
24.489,0.0,1.0,1879.0,4.0
26.121,0.0,1.0,1879.0,5.0
26.658,0.0,1.0,1879.0,6.0
27.48,0.0,1.0,1879.0,7.0
26.999,0.0,1.0,1879.0,8.0
26.261,0.0,1.0,1879.0,9.0
26.13,0.0,1.0,1879.0,10.0
25.982,0.0,1.0,1879.0,11.0
25.846,0.0,1.0,1879.0,12.0
24.405,0.0,1.0,1880.0,1.0
24.106,0.0,1.0,1880.0,2.0
24.542,0.0,1.0,1880.0,3.0
24.302,0.0,1.0,1880.0,4.0
26.585,0.0,1.0,1880.0,5.0
27.021,0.0,1.0,1880.0,6.0
27.314,0.0,1.0,1880.0,7.0
27.038,0.0,1.0,1880.0,8.0
26.512,0.0,1.0,1880.0,9.0
26.259,0.0,1.0,1880.0,10.0
27.029,0.0,1.0,1880.0,11.0
25.416,0.0,1.0,1880.0,12.0
23.963,0.0,1.0,1881.0,1.0
23.75,0.0,1.0,1881.0,2.0
24.281,0.0,1.0,1881.0,3.0
24.798,0.0,1.0,1881.0,4.0
26.257,0.0,1.0,1881.0,5.0
27.09,0.0,1.0,1881.0,6.0
27.613,0.0,1.0,1881.0,7.0
27.176,0.0,1.0,1881.0,8.0
26.731,0.0,1.0,1881.0,9.0
26.876,0.0,1.0,1881.0,10.0
26.936,0.0,1.0,1881.0,11.0
25.595,0.0,1.0,1881.0,12.0
25.075,0.0,1.0,1882.0,1.0
